PARLAMENTO | PUNO - CARABAYA	44604	26862	20115
PARLAMENTO | PUNO - CHUCUITO	53077	36278	26170
PARLAMENTO | PUNO - EL COLLAO	47320	30159	21595
PARLAMENTO | PUNO - HUANCANÉ	53145	34433	25069
PARLAMENTO | PUNO - LAMPA	38326	28021	22065
PARLAMENTO | PUNO - MELGAR	54808	35885	27671
PARLAMENTO | PUNO - MOHO	19146	10527	7574
PARLAMENTO | PUNO - PUNO	171259	119133	92224
PARLAMENTO | PUNO - SAN ANTONIO DE PUTINA	23362	15917	12423
PARLAMENTO | PUNO - SAN ROMÁN	225413	164434	133262
PARLAMENTO | PUNO - SANDIA	42422	23189	16382
PARLAMENTO | PUNO - YUNGUYO	31603	19987	12854
PARLAMENTO | SAN MARTÍN - BELLAVISTA	41290	18446	11218
PARLAMENTO | SAN MARTÍN - EL DORADO	24869	10928	6482
PARLAMENTO | SAN MARTÍN - HUALLAGA	24454	10731	6093
PARLAMENTO | SAN MARTÍN - LAMAS	61778	31039	16974
PARLAMENTO | SAN MARTÍN - MARISCAL CÁCERES	53791	24526	14708
PARLAMENTO | SAN MARTÍN - MOYOBAMBA	95375	54015	33100
PARLAMENTO | SAN MARTÍN - PICOTA	36807	17980	10880
PARLAMENTO | SAN MARTÍN - RIOJA	107051	56350	37808
PARLAMENTO | SAN MARTÍN - SAN MARTÍN	159390	87993	56740
PARLAMENTO | SAN MARTÍN - TOCACHE	60065	24783	14868
PARLAMENTO | TACNA - CANDARAVE	6532	3861	2972
PARLAMENTO | TACNA - JORGE BASADRE	10580	7700	6059
PARLAMENTO | TACNA - TACNA	273494	205674	165792
PARLAMENTO | TACNA - TARATA	7888	5388	4079
PARLAMENTO | TUMBES - CONTRALMIRANTE VILLAR	17100	9559	5561
PARLAMENTO | TUMBES - TUMBES	123243	66486	40945
PARLAMENTO | TUMBES - ZARUMILLA	39255	19250	11886
PARLAMENTO | UCAYALI - ATALAYA	40662	11116	6420
PARLAMENTO | UCAYALI - CORONEL PORTILLO	331439	147834	97474
PARLAMENTO | UCAYALI - PADRE ABAD	60868	26905	17752
PARLAMENTO | UCAYALI - PURÚS	3461	447	340
PARLAMENTO | ÁFRICA - ARGELIA	29	10	9
PARLAMENTO | ÁFRICA - KENIA	12	3	3
PARLAMENTO | ÁFRICA - MARRUECOS	59	11	10
PARLAMENTO | ÁFRICA - REPÚBLICA ÁRABE DE EGIPTO	40	0	0
PARLAMENTO | ÁFRICA - SUDÁFRICA	243	30	28
PRESIDENCIAL | AMÉRICA - ANTILLAS HOLANDESAS	850	386	269
PRESIDENCIAL | AMÉRICA - ARGENTINA	145893	56904	34322
PRESIDENCIAL | AMÉRICA - BOLIVIA	9982	5695	4072
PRESIDENCIAL | AMÉRICA - BRASIL	19532	6473	4923
PRESIDENCIAL | AMÉRICA - CANADÁ	24136	8751	7714
PRESIDENCIAL | AMÉRICA - CHILE	137987	66567	40065
PRESIDENCIAL | AMÉRICA - COLOMBIA	6150	2305	1773
PRESIDENCIAL | AMÉRICA - COSTA RICA	3264	1393	1206
PRESIDENCIAL | AMÉRICA - CUBA	137	15	11
PRESIDENCIAL | AMÉRICA - ECUADOR	6989	3171	1818
PRESIDENCIAL | AMÉRICA - EL SALVADOR	171	75	57
PRESIDENCIAL | AMÉRICA - ESTADOS UNIDOS DE ÁMERICA	368338	71498	60624
PRESIDENCIAL | AMÉRICA - GUATEMALA	521	216	197
PRESIDENCIAL | AMÉRICA - GUAYANA FRANCESA	642	284	213
PRESIDENCIAL | AMÉRICA - HONDURAS	273	63	59
PRESIDENCIAL | AMÉRICA - MÉXICO	6486	1687	1528
PRESIDENCIAL | AMÉRICA - NICARAGUA	185	71	56
PRESIDENCIAL | AMÉRICA - PANAMÁ	3580	1545	1184
PRESIDENCIAL | AMÉRICA - PARAGUAY	1802	780	584
PRESIDENCIAL | AMÉRICA - PUERTO RICO	818	269	238
PRESIDENCIAL | AMÉRICA - REPÚBLICA DOMINICANA	1401	694	597
PRESIDENCIAL | AMÉRICA - TRINIDAD Y TOBAGO	93	11	11
PRESIDENCIAL | AMÉRICA - URUGUAY	1952	1072	842
PRESIDENCIAL | ASIA - FILIPINAS	49	13	11
PRESIDENCIAL | ASIA - INDIA	92	11	10
PRESIDENCIAL | ASIA - INDONESIA	22	10	10
PRESIDENCIAL | ASIA - JAPÓN	37660	9466	7601
PRESIDENCIAL | ASIA - MALASIA	23	8	7
PRESIDENCIAL | ASIA - REPUBLICA DE COREA	379	123	111
PRESIDENCIAL | ASIA - REPÚBLICA POPULAR CHINA	833	174	141
PRESIDENCIAL | ASIA - SINGAPUR	104	35	34
PRESIDENCIAL | ASIA - TAILANDIA	92	34	33
PRESIDENCIAL | ASIA - TURQUÍA	91	41	35
PRESIDENCIAL | ASIA - VIETNAM	17	5	5
PRESIDENCIAL | CALLAO - CALLAO	858968	671545	577783
PRESIDENCIAL | EUROPA - ALEMANIA	13471	4379	3909
PRESIDENCIAL | EUROPA - AUSTRIA	1176	388	341
PRESIDENCIAL | EUROPA - BIELORRUSIA	30	17	17
PRESIDENCIAL | EUROPA - BÉLGICA	4009	1873	1523
PRESIDENCIAL | EUROPA - DINAMARCA	675	195	177
PRESIDENCIAL | EUROPA - ESPAÑA	219545	87072	69654
PRESIDENCIAL | EUROPA - FINLANDIA	459	116	104
PRESIDENCIAL | EUROPA - FRANCIA	14207	5368	4461
PRESIDENCIAL | EUROPA - GRAN BRETAÑA	6279	1702	1501
PRESIDENCIAL | EUROPA - GRAN DUCADO DE LUXEMBURGO	354	182	145
