PRESIDENCIAL | EUROPA - HUNGRÍA	1	1
PRESIDENCIAL | EUROPA - IRLANDA	1	1
PRESIDENCIAL | EUROPA - ITALIA	251	251
PRESIDENCIAL | EUROPA - MALTA	1	1
PRESIDENCIAL | EUROPA - NORUEGA	2	2
PRESIDENCIAL | EUROPA - POLONIA	1	1
PRESIDENCIAL | EUROPA - PORTUGAL	2	2
PRESIDENCIAL | EUROPA - PRINCIPADO DE ANDORRA	1	1
PRESIDENCIAL | EUROPA - REPÚBLICA CHECA	1	1
PRESIDENCIAL | EUROPA - RUMANÍA	2	2
PRESIDENCIAL | EUROPA - RUSIA	3	3
PRESIDENCIAL | EUROPA - SUECIA	9	9
PRESIDENCIAL | EUROPA - SUIZA	19	19
PRESIDENCIAL | ICA - CHINCHA	28	28
PRESIDENCIAL | ICA - NASCA	218	218
PRESIDENCIAL | ICA - PALPA	46	46
PRESIDENCIAL | ICA - PISCO	426	426
PRESIDENCIAL | JUNÍN - CHANCHAMAYO	481	481
PRESIDENCIAL | JUNÍN - CHUPACA	190	190
PRESIDENCIAL | JUNÍN - CONCEPCIÓN	188	188
PRESIDENCIAL | JUNÍN - HUANCAYO	1588	1588
PRESIDENCIAL | JUNÍN - JAUJA	268	268
PRESIDENCIAL | JUNÍN - JUNÍN	64	64
PRESIDENCIAL | JUNÍN - SATIPO	545	545
PRESIDENCIAL | JUNÍN - TARMA	262	262
PRESIDENCIAL | JUNÍN - YAULI	105	105
PRESIDENCIAL | LA LIBERTAD - ASCOPE	344	344
PRESIDENCIAL | LA LIBERTAD - BOLÍVAR	48	48
PRESIDENCIAL | LA LIBERTAD - CHEPÉN	240	240
PRESIDENCIAL | LA LIBERTAD - GRAN CHIMÚ	83	83
PRESIDENCIAL | LA LIBERTAD - JULCÁN	94	94
PRESIDENCIAL | LA LIBERTAD - OTUZCO	263	263
PRESIDENCIAL | LA LIBERTAD - PACASMAYO	292	292
PRESIDENCIAL | LA LIBERTAD - PATAZ	223	223
PRESIDENCIAL | LA LIBERTAD - SANTIAGO DE CHUCO	155	155
PRESIDENCIAL | LA LIBERTAD - SÁNCHEZ CARRIÓN	428	428
PRESIDENCIAL | LA LIBERTAD - TRUJILLO	2849	2849
PRESIDENCIAL | LA LIBERTAD - VIRÚ	283	283
PRESIDENCIAL | LAMBAYEQUE - CHICLAYO	2391	2391
PRESIDENCIAL | LAMBAYEQUE - FERREÑAFE	305	305
PRESIDENCIAL | LAMBAYEQUE - LAMBAYEQUE	894	894
PRESIDENCIAL | LIMA - BARRANCA	418	418
PRESIDENCIAL | LIMA - CAJATAMBO	24	24
PRESIDENCIAL | LIMA - CANTA	47	47
PRESIDENCIAL | LIMA - CAÑETE	668	668
PRESIDENCIAL | LIMA - HUARAL	560	560
PRESIDENCIAL | LIMA - HUAROCHIRÍ	342	342
PRESIDENCIAL | LIMA - HUAURA	655	655
PRESIDENCIAL | LIMA - LIMA	20800	20800
PRESIDENCIAL | LIMA - OYÓN	51	51
PRESIDENCIAL | LIMA - YAUYOS	114	114
PRESIDENCIAL | LORETO - ALTO AMAZONAS	39	39
PRESIDENCIAL | LORETO - MAYNAS	116	116
PRESIDENCIAL | OCEANÍA - AUSTRALIA	18	18
PRESIDENCIAL | OCEANÍA - NUEVA ZELANDA	3	3
PRESIDENCIAL | PIURA - AYABACA	326	326
PRESIDENCIAL | PIURA - HUANCABAMBA	247	247
PRESIDENCIAL | PIURA - MORROPÓN	461	461
PRESIDENCIAL | PIURA - PAITA	331	331
PRESIDENCIAL | PIURA - PIURA	1451	1451
PRESIDENCIAL | PIURA - SECHURA	192	192
PRESIDENCIAL | PIURA - SULLANA	885	885
PRESIDENCIAL | PIURA - TALARA	390	390
PRESIDENCIAL | PUNO - AZÁNGARO	336	336
PRESIDENCIAL | PUNO - CARABAYA	157	157
PRESIDENCIAL | PUNO - CHUCUITO	184	184
PRESIDENCIAL | PUNO - EL COLLAO	163	163
PRESIDENCIAL | PUNO - HUANCANÉ	186	186
PRESIDENCIAL | PUNO - LAMPA	137	137
PRESIDENCIAL | PUNO - MELGAR	192	192
PRESIDENCIAL | PUNO - MOHO	66	66
PRESIDENCIAL | PUNO - PUNO	583	583
PRESIDENCIAL | PUNO - SAN ANTONIO DE PUTINA	81	81
PRESIDENCIAL | PUNO - SAN ROMÁN	762	762
PRESIDENCIAL | PUNO - SANDIA	151	151
PRESIDENCIAL | PUNO - YUNGUYO	110	110
PRESIDENCIAL | SAN MARTÍN - BELLAVISTA	143	143
PRESIDENCIAL | SAN MARTÍN - EL DORADO	87	87
PRESIDENCIAL | SAN MARTÍN - HUALLAGA	87	87
PRESIDENCIAL | SAN MARTÍN - LAMAS	215	215
PRESIDENCIAL | SAN MARTÍN - MARISCAL CÁCERES	183	183
PRESIDENCIAL | SAN MARTÍN - MOYOBAMBA	325	325
PRESIDENCIAL | SAN MARTÍN - PICOTA	131	131
PRESIDENCIAL | SAN MARTÍN - RIOJA	370	370
PRESIDENCIAL | SAN MARTÍN - SAN MARTÍN	548	548
PRESIDENCIAL | SAN MARTÍN - TOCACHE	208	208
PRESIDENCIAL | TACNA - CANDARAVE	24	24
PRESIDENCIAL | TACNA - JORGE BASADRE	38	38
PRESIDENCIAL | TACNA - TACNA	932	932
PRESIDENCIAL | TACNA - TARATA	29	29
PRESIDENCIAL | TUMBES - CONTRALMIRANTE VILLAR	61	61
PRESIDENCIAL | TUMBES - TUMBES	428	428
PRESIDENCIAL | TUMBES - ZARUMILLA	137	137
PRESIDENCIAL | UCAYALI - ATALAYA	139	139
PRESIDENCIAL | UCAYALI - CORONEL PORTILLO	1126	1126
PRESIDENCIAL | UCAYALI - PADRE ABAD	210	210
PRESIDENCIAL | UCAYALI - PURÚS	12	12
PRESIDENCIAL | ÁFRICA - ARGELIA	1	1
PRESIDENCIAL | ÁFRICA - KENIA	1	1
PRESIDENCIAL | ÁFRICA - MARRUECOS	1	1
PRESIDENCIAL | ÁFRICA - REPÚBLICA ÁRABE DE EGIPTO	1	1
PRESIDENCIAL | ÁFRICA - SUDÁFRICA	1	1
SEN_NACIONALES | AMÉRICA - ANTILLAS HOLANDESAS	2	2
SEN_NACIONALES | AMÉRICA - ARGENTINA	295	295
SEN_NACIONALES | AMÉRICA - BOLIVIA	22	22
SEN_NACIONALES | AMÉRICA - BRASIL	44	44
SEN_NACIONALES | AMÉRICA - CANADÁ	51	51
SEN_NACIONALES | AMÉRICA - CHILE	254	254
SEN_NACIONALES | AMÉRICA - COLOMBIA	17	17
SEN_NACIONALES | AMÉRICA - COSTA RICA	7	7
SEN_NACIONALES | AMÉRICA - CUBA	1	1
SEN_NACIONALES | AMÉRICA - ECUADOR	16	16
SEN_NACIONALES | AMÉRICA - EL SALVADOR	1	1
SEN_NACIONALES | AMÉRICA - ESTADOS UNIDOS DE ÁMERICA	712	712
SEN_NACIONALES | AMÉRICA - GUATEMALA	2	2
SEN_NACIONALES | AMÉRICA - GUAYANA FRANCESA	2	2
SEN_NACIONALES | AMÉRICA - HONDURAS	1	1
SEN_NACIONALES | AMÉRICA - MÉXICO	14	14
SEN_NACIONALES | AMÉRICA - NICARAGUA	1	1
SEN_NACIONALES | AMÉRICA - PANAMÁ	10	10
SEN_NACIONALES | AMÉRICA - PARAGUAY	4	4
SEN_NACIONALES | AMÉRICA - PUERTO RICO	2	2
SEN_NACIONALES | AMÉRICA - REPÚBLICA DOMINICANA	4	4
SEN_NACIONALES | AMÉRICA - TRINIDAD Y TOBAGO	1	1
SEN_NACIONALES | AMÉRICA - URUGUAY	4	4
SEN_NACIONALES | ASIA - FILIPINAS	1	1
SEN_NACIONALES | ASIA - INDIA	1	1
SEN_NACIONALES | ASIA - INDONESIA	1	1
SEN_NACIONALES | ASIA - JAPÓN	81	81
SEN_NACIONALES | ASIA - MALASIA	1	1
SEN_NACIONALES | ASIA - REPUBLICA DE COREA	1	1
SEN_NACIONALES | ASIA - REPÚBLICA POPULAR CHINA	4	4
SEN_NACIONALES | ASIA - SINGAPUR	1	1
SEN_NACIONALES | ASIA - TAILANDIA	1	1
SEN_NACIONALES | ASIA - TURQUÍA	2	2
